SERIAL	CLIENTE	EQUIPAMENTO	ORDEM DE SERVIÇO	FLUXO	GARANTIA	DT RECEBIMENTO
0100221088647522	PAGPOP	Mag-Scan 7	1802262024	CONTRATO	S	2024-05-20
0450191033333308	SUM UP	Chipset-Verifier 3.0	1802182024	CONTRATO	N	2024-05-20
0450211072829382	INFINITE PAY	Chipset-Verifier 3.0	1802382024	CONTRATO	N	2024-05-20
0100241013051824	PAGPOP	Mag-Scan 7	1802262024	CONTRATO	N	2024-05-20
0100221088004064	GETNET	Mag-Scan 7	1802462024	CONTRATO	S	2024-05-20
0450191004209158	PAG SEGURO	Chipset-Verifier 3.0	1802352024	CONTRATO	N	2024-05-20
0100241067494651	GETNET	Mag-Scan 7	1802462024	CONTRATO	N	2024-05-20
0450231011511769	INFINITE PAY	Chipset-Verifier 3.0	1802382024	CONTRATO	N	2024-05-20
0020231009816445	REDECARD	EPOS-X	1802432024	CONTRATO	N	2024-05-20
0100181087476752	GETNET	Mag-Scan 7	1802462024	CONTRATO	N	2024-05-20
0020241073738056	SUM UP	Tricore-V	1802322024	CONTRATO	N	2024-05-20
0020231019824245	CIELO	Tricore-V	1802162024	CONTRATO	N	2024-05-20
0020221000061338	STONE	Tricore-V	1802422024	CONTRATO	S	2024-05-20
0020231017430740	MERCADO PAGO	Tricore-V	1802142024	CONTRATO	N	2024-05-20
0100191001740083	SECUREPAY SOLUTIONS	Mag-Scan 7	1801562024	VAREJO	N	2024-05-20
0450231077372898	SUM UP	Chipset-Verifier 3.0	1802182024	CONTRATO	N	2024-05-20
2100241051547777	INFINITE PAY	PX-2100	1802042024	CONTRATO	N	2024-05-21
5020181063856929	SWIFTSWIPE TECH	Tricore-V	1801622024	VAREJO	N	2024-05-21
3450231021874850	CIELO	Chipset-Verifier 3.0	1801672024	CONTRATO	N	2024-05-21
5020231038265897	MERCADO PAGO	Tricore-V	1801882024	CONTRATO	N	2024-05-21
1020181032498415	MERCADO PAGO	EPOS-X	1801662024	CONTRATO	N	2024-05-21
3450201044165836	GETNET	Chipset-Verifier 3.0	1801722024	CONTRATO	N	2024-05-21
2100241004190787	PAG SEGURO	PX-2100	1801752024	CONTRATO	N	2024-05-21
7100241001674512	REDECARD	Mag-Scan 7	1802012024	CONTRATO	N	2024-05-21
