SERIAL	CLIENTE	EQUIPAMENTO	ORDEM DE SERVIÇO	FLUXO	GARANTIA	DT RECEBIMENTO
2100221068141921	STONE	PX-2100	1800212024	CONTRATO	N	2024-06-22
7100211082329347	SUM UP	Mag-Scan 7	1800222024	CONTRATO	N	2024-06-24
5020201019588448	CIELO	Tricore-V	1800232024	CONTRATO	N	2024-05-31
3450201050104586	PAGPOP	Chipset-Verifier 3.0	1800242024	CONTRATO	S	2024-05-27
2100181058095520	CIELO	PX-2100	1800252024	CONTRATO	N	2024-06-12
1020211028385725	MERCADO PAGO	EPOS-X	1800262024	CONTRATO	N	2024-05-26
1020241048069218	STONE	EPOS-X	1800272024	CONTRATO	N	2024-06-23
3450211068921556	SUM UP	Chipset-Verifier 3.0	1800282024	CONTRATO	N	2024-05-29
5020241088423801	PAGPOP	Tricore-V	1800292024	CONTRATO	S	2024-06-26
5020231047940101	MERCADO PAGO	Tricore-V	1800302024	CONTRATO	N	2024-06-04
5020191012306099	PAGPOP	Tricore-V	1800292024	CONTRATO	N	2024-06-27
3450191053109234	SUM UP	Chipset-Verifier 3.0	1800282024	CONTRATO	N	2024-06-23
1020231004612106	POINTTECH SOLUTIONS	EPOS-X	1800312024	VAREJO	N	2024-06-08
5020231073775061	EASYSWIPE SOLUTIONS	Tricore-V	1800322024	VAREJO	S	2024-06-03
5020241029937272	PAG SEGURO	Tricore-V	1800332024	CONTRATO	N	2024-05-22
2100211012001599	PAGPOP	PX-2100	1800342024	CONTRATO	S	2024-06-13
3450241036696078	MERCADO PAGO	Chipset-Verifier 3.0	1800352024	CONTRATO	N	2024-06-16
7100211070395883	STONE	Mag-Scan 7	1800362024	CONTRATO	N	2024-05-31
7100231085987117	MERCADO PAGO	Mag-Scan 7	1800372024	CONTRATO	N	2024-06-13
7100221064847282	REDECARD	Mag-Scan 7	1800382024	CONTRATO	N	2024-05-21
2100241016422049	GETNET	PX-2100	1800392024	CONTRATO	N	2024-05-19
2100191055952729	CIELO	PX-2100	1800252024	CONTRATO	N	2024-05-27
2100211083503313	MERCADO PAGO	PX-2100	1800402024	CONTRATO	N	2024-05-18
3450191004445795	SUM UP	Chipset-Verifier 3.0	1800282024	CONTRATO	N	2024-05-24
3450191073199487	SUM UP	Chipset-Verifier 3.0	1800282024	CONTRATO	N	2024-05-19
3450211048857197	GETNET	Chipset-Verifier 3.0	1800412024	CONTRATO	N	2024-06-17
7100221029129025	PAYMASTER TECH	Mag-Scan 7	1800422024	VAREJO	N	2024-06-02
3450231050921493	SUM UP	Chipset-Verifier 3.0	1800282024	CONTRATO	N	2024-06-07
7100211046284939	MERCADO PAGO	Mag-Scan 7	1800372024	CONTRATO	N	2024-06-09
7100211007808080	MERCADO PAGO	Mag-Scan 7	1800372024	CONTRATO	N	2024-05-22
5020181015131625	STONE	Tricore-V	1800432024	CONTRATO	N	2024-05-30
2100191088658158	SWIFTPAY SOLUTIONS	PX-2100	1800442024	VAREJO	S	2024-05-30
3450181005555995	MERCADO PAGO	Chipset-Verifier 3.0	1800352024	CONTRATO	N	2024-05-28
7100181078578458	INFINITE PAY	Mag-Scan 7	1800452024	CONTRATO	N	2024-06-13
2100231032798346	SWIFTPAY SOLUTIONS	PX-2100	1800442024	VAREJO	N	2024-06-26
3450201083754031	GETNET	Chipset-Verifier 3.0	1800412024	CONTRATO	N	2024-05-30
5020231062519639	CIELO	Tricore-V	1800232024	CONTRATO	N	2024-06-21
7100201032505837	SUM UP	Mag-Scan 7	1800222024	CONTRATO	N	2024-06-02
1020231018954951	REDECARD	EPOS-X	1800462024	CONTRATO	N	2024-05-29
5020221040723777	SUM UP	Tricore-V	1800472024	CONTRATO	N	2024-05-20
7100231052367524	GETNET	Mag-Scan 7	1800482024	CONTRATO	N	2024-05-29
5020201063630756	CIELO	Tricore-V	1800232024	CONTRATO	N	2024-05-21
5020201078495221	SUM UP	Tricore-V	1800472024	CONTRATO	N	2024-06-24
3450181077812030	SUM UP	Chipset-Verifier 3.0	1800282024	CONTRATO	N	2024-05-27
5020241082943679	INFINITE PAY	Tricore-V	1800492024	CONTRATO	N	2024-06-11
2100231083378739	SUM UP	PX-2100	1800502024	CONTRATO	N	2024-06-20
1020241045387078	EASYSWIPE SOLUTIONS	EPOS-X	1800512024	VAREJO	S	2024-05-22
1020181038665452	GETNET	EPOS-X	1800522024	CONTRATO	N	2024-05-19
3450221043759606	PAG SEGURO	Chipset-Verifier 3.0	1800532024	CONTRATO	N	2024-06-03
2100221042956923	MERCADO PAGO	PX-2100	1800402024	CONTRATO	N	2024-06-24
1020201052413190	PAG SEGURO	EPOS-X	1800542024	CONTRATO	S	2024-05-31
1020211036120931	PAG SEGURO	EPOS-X	1800542024	CONTRATO	N	2024-06-01
1020231085035610	PAGPOP	EPOS-X	1800552024	CONTRATO	N	2024-05-24
1020221043878325	GETNET	EPOS-X	1800522024	CONTRATO	N	2024-05-22
7100241007665808	SUM UP	Mag-Scan 7	1800222024	CONTRATO	N	2024-06-01
3450181076014894	MERCADO PAGO	Chipset-Verifier 3.0	1800352024	CONTRATO	N	2024-05-26
2100231087115701	PAGPOP	PX-2100	1800342024	CONTRATO	N	2024-06-11
2100191004903303	SUM UP	PX-2100	1800502024	CONTRATO	N	2024-06-26
1020231020610111	GETNET	EPOS-X	1800522024	CONTRATO	N	2024-05-19
5020241056673751	SUM UP	Tricore-V	1800472024	CONTRATO	N	2024-05-23
5020221024142118	STONE	Tricore-V	1800432024	CONTRATO	N	2024-06-14
3450211066209397	CIELO	Chipset-Verifier 3.0	1800562024	CONTRATO	S	2024-06-14
5020201056532400	REDECARD	Tricore-V	1800572024	CONTRATO	S	2024-06-13
3450241035466795	PAG SEGURO	Chipset-Verifier 3.0	1800532024	CONTRATO	N	2024-06-01
2100211067297521	REDECARD	PX-2100	1800582024	CONTRATO	N	2024-05-20
2100241057376897	CIELO	PX-2100	1800252024	CONTRATO	N	2024-06-24
5020201045855335	GETNET	Tricore-V	1800592024	CONTRATO	N	2024-05-27
5020201079979492	STONE	Tricore-V	1800432024	CONTRATO	N	2024-05-30
7100241066500893	SUM UP	Mag-Scan 7	1800222024	CONTRATO	N	2024-06-05
7100201081412296	MERCADO PAGO	Mag-Scan 7	1800372024	CONTRATO	N	2024-05-18
2100191034414623	REDECARD	PX-2100	1800582024	CONTRATO	N	2024-05-19
5020201026767724	MERCADO PAGO	Tricore-V	1800302024	CONTRATO	N	2024-06-05
5020221023588418	CIELO	Tricore-V	1800232024	CONTRATO	N	2024-05-24
5020191037676546	INFINITE PAY	Tricore-V	1800492024	CONTRATO	N	2024-06-19
5020231080444406	PAG SEGURO	Tricore-V	1800332024	CONTRATO	N	2024-06-21
7100221077878634	STONE	Mag-Scan 7	1800362024	CONTRATO	S	2024-05-27
3450211078330388	GETNET	Chipset-Verifier 3.0	1800412024	CONTRATO	N	2024-06-17
7100201026292379	PAGPOP	Mag-Scan 7	1800602024	CONTRATO	N	2024-05-25
5020191086803316	PAG SEGURO	Tricore-V	1800332024	CONTRATO	N	2024-06-18
1020191000365361	MERCADO PAGO	EPOS-X	1800262024	CONTRATO	N	2024-06-26
1020231065245734	SUM UP	EPOS-X	1800612024	CONTRATO	N	2024-06-18
1020231031299046	MERCADO PAGO	EPOS-X	1800262024	CONTRATO	S	2024-06-24
5020241049449964	INFINITE PAY	Tricore-V	1800492024	CONTRATO	N	2024-06-12
7100241059228938	CIELO	Mag-Scan 7	1800622024	CONTRATO	N	2024-06-21
1020211073288999	INFINITE PAY	EPOS-X	1800632024	CONTRATO	N	2024-06-22
3450211045010819	MERCADO PAGO	Chipset-Verifier 3.0	1800352024	CONTRATO	S	2024-05-31
3450221005425641	REDECARD	Chipset-Verifier 3.0	1800642024	CONTRATO	N	2024-06-07
1020211006512924	PAGPOP	EPOS-X	1800552024	CONTRATO	N	2024-06-12
3450181029798886	STONE	Chipset-Verifier 3.0	1800652024	CONTRATO	N	2024-05-18
7100241038999759	EASYSWIPE SOLUTIONS	Mag-Scan 7	1800662024	VAREJO	N	2024-06-07
5020241083935520	CARDTECH SOLUTIONS	Tricore-V	1800672024	VAREJO	N	2024-06-10
3450211046132717	CIELO	Chipset-Verifier 3.0	1800562024	CONTRATO	S	2024-06-01
1020191081539115	CARTÃOFÁCIL SOLUTIONS	EPOS-X	1800682024	VAREJO	N	2024-05-24
7100241076775479	POINTEXPERT SOLUTIONS	Mag-Scan 7	1800692024	VAREJO	N	2024-06-17
3450231026047823	INFINITE PAY	Chipset-Verifier 3.0	1800702024	CONTRATO	N	2024-06-17
7100191043323593	STONE	Mag-Scan 7	1800362024	CONTRATO	S	2024-06-23
5020231014826357	GETNET	Tricore-V	1800592024	CONTRATO	N	2024-05-24
7100241007764419	MERCADO PAGO	Mag-Scan 7	1800372024	CONTRATO	S	2024-06-15
3450231056243872	PAG SEGURO	Chipset-Verifier 3.0	1800532024	CONTRATO	N	2024-05-25
5020211046231222	MERCADO PAGO	Tricore-V	1800302024	CONTRATO	N	2024-05-25
5020181015835947	PAGPOP	Tricore-V	1800292024	CONTRATO	N	2024-06-18
3450221055718619	GETNET	Chipset-Verifier 3.0	1800412024	CONTRATO	N	2024-06-10
3450211080002489	INFINITE PAY	Chipset-Verifier 3.0	1800702024	CONTRATO	S	2024-06-05
2100241017529533	GETNET	PX-2100	1800392024	CONTRATO	N	2024-06-21
1020191015989566	CARDCONNECT SOLUTIONS	EPOS-X	1800712024	VAREJO	N	2024-06-11
1020181005037971	STONE	EPOS-X	1800272024	CONTRATO	N	2024-06-05
7100201079778629	STONE	Mag-Scan 7	1800362024	CONTRATO	N	2024-05-25
3450241072781641	EASYPAY SOLUTIONS	Chipset-Verifier 3.0	1800722024	VAREJO	N	2024-05-28
5020211075338130	SWIPETECH EXPERTS	Tricore-V	1800732024	VAREJO	N	2024-06-08
7100211051139526	PAGPOP	Mag-Scan 7	1800602024	CONTRATO	S	2024-06-04
5020221004922700	CIELO	Tricore-V	1800232024	CONTRATO	S	2024-05-24
1020241026793281	PAGPOP	EPOS-X	1800552024	CONTRATO	S	2024-05-30
2100241066641208	SUM UP	PX-2100	1800502024	CONTRATO	N	2024-06-23
2100191077494684	INFINITE PAY	PX-2100	1800742024	CONTRATO	N	2024-06-17
7100231015080458	SUM UP	Mag-Scan 7	1800222024	CONTRATO	N	2024-05-23
5020181039847316	REDECARD	Tricore-V	1800572024	CONTRATO	S	2024-05-18
3450201067679814	PAG SEGURO	Chipset-Verifier 3.0	1800532024	CONTRATO	N	2024-05-23
2100191049895495	STONE	PX-2100	1800212024	CONTRATO	S	2024-05-29
1020211019452084	PAG SEGURO	EPOS-X	1800542024	CONTRATO	N	2024-05-22
5020221082283285	SECUREPOINT SOLUTIONS	Tricore-V	1800752024	VAREJO	S	2024-05-27
3450201061679944	PAGPOP	Chipset-Verifier 3.0	1800242024	CONTRATO	N	2024-06-09
2100231044647891	CIELO	PX-2100	1800252024	CONTRATO	N	2024-05-28
5020221050839323	PAGPOP	Tricore-V	1800292024	CONTRATO	N	2024-05-26
1020201059332106	CIELO	EPOS-X	1800762024	CONTRATO	N	2024-06-04
3450231007842793	CIELO	Chipset-Verifier 3.0	1800562024	CONTRATO	N	2024-06-11
5020241020819148	STONE	Tricore-V	1800432024	CONTRATO	S	2024-06-24
7100231044238227	GETNET	Mag-Scan 7	1800482024	CONTRATO	S	2024-06-25
3450211031174912	STONE	Chipset-Verifier 3.0	1800652024	CONTRATO	N	2024-05-23
5020201069111873	MERCADO PAGO	Tricore-V	1800302024	CONTRATO	S	2024-05-23
7100211029343945	SUM UP	Mag-Scan 7	1800222024	CONTRATO	N	2024-05-26
7100201045975131	PAG SEGURO	Mag-Scan 7	1800772024	CONTRATO	N	2024-06-24
2100241029259085	REDECARD	PX-2100	1800582024	CONTRATO	N	2024-06-16
1020181076509075	MERCADO PAGO	EPOS-X	1800262024	CONTRATO	N	2024-06-23
1020221074435687	PAYMASTER TECH	EPOS-X	1800782024	VAREJO	S	2024-06-17
1020211058146659	PAG SEGURO	EPOS-X	1800542024	CONTRATO	N	2024-06-27
3450201083580350	REDECARD	Chipset-Verifier 3.0	1800642024	CONTRATO	N	2024-05-18
3450211002015244	PAG SEGURO	Chipset-Verifier 3.0	1800532024	CONTRATO	S	2024-05-24
7100181031471446	PAG SEGURO	Mag-Scan 7	1800772024	CONTRATO	N	2024-06-15
1020221015572054	PAGPOP	EPOS-X	1800552024	CONTRATO	N	2024-06-14
1020241001150858	GETNET	EPOS-X	1800522024	CONTRATO	N	2024-06-02
2100241077948696	PAGPOP	PX-2100	1800342024	CONTRATO	N	2024-06-26
3450221014736720	GETNET	Chipset-Verifier 3.0	1800412024	CONTRATO	N	2024-06-14
3450211073976432	MERCADO PAGO	Chipset-Verifier 3.0	1800352024	CONTRATO	N	2024-05-23
7100241025032033	GETNET	Mag-Scan 7	1800482024	CONTRATO	N	2024-05-31
7100201060157347	GETNET	Mag-Scan 7	1800482024	CONTRATO	N	2024-06-10
5020241089950906	SUM UP	Tricore-V	1800472024	CONTRATO	N	2024-06-03
5020181000550182	MERCADO PAGO	Tricore-V	1800302024	CONTRATO	N	2024-05-19
3450201050979522	STONE	Chipset-Verifier 3.0	1800652024	CONTRATO	N	2024-06-17
2100231042978882	SECURESWIPE SOLUTIONS	PX-2100	1800792024	VAREJO	N	2024-06-13
3450211088320189	STONE	Chipset-Verifier 3.0	1800652024	CONTRATO	N	2024-06-05
7100221054209420	MERCADO PAGO	Mag-Scan 7	1800372024	CONTRATO	S	2024-06-15
5020181081888114	INFINITE PAY	Tricore-V	1800492024	CONTRATO	N	2024-05-26
7100211033306748	REDECARD	Mag-Scan 7	1800382024	CONTRATO	N	2024-06-09
3450201032973450	REDECARD	Chipset-Verifier 3.0	1800642024	CONTRATO	N	2024-05-19
2100191028249980	GETNET	PX-2100	1800392024	CONTRATO	N	2024-05-22
2100191030200811	INFINITE PAY	PX-2100	1800742024	CONTRATO	S	2024-05-18
2100191074706140	REDECARD	PX-2100	1800582024	CONTRATO	N	2024-06-15
1020201054425462	MERCADO PAGO	EPOS-X	1800262024	CONTRATO	N	2024-06-18
5020231035516540	REDECARD	Tricore-V	1800572024	CONTRATO	N	2024-06-05
1020201085357997	SUM UP	EPOS-X	1800612024	CONTRATO	N	2024-06-13
3450221013287892	CARTÃOMASTER TECH	Chipset-Verifier 3.0	1800802024	VAREJO	S	2024-05-26
7100231070899474	STONE	Mag-Scan 7	1800362024	CONTRATO	N	2024-06-14
7100241077225284	MERCADO PAGO	Mag-Scan 7	1800372024	CONTRATO	N	2024-06-16
5020221011661492	REDECARD	Tricore-V	1800572024	CONTRATO	N	2024-06-18
7100241058741537	MERCADO PAGO	Mag-Scan 7	1800372024	CONTRATO	N	2024-06-16
5020191027490932	REDECARD	Tricore-V	1800572024	CONTRATO	N	2024-06-27
1020241039649273	PAG SEGURO	EPOS-X	1800542024	CONTRATO	N	2024-06-19
5020241066919862	REDECARD	Tricore-V	1800572024	CONTRATO	N	2024-05-22
7100221027801083	SUM UP	Mag-Scan 7	1800222024	CONTRATO	N	2024-05-22
7100211054648233	REDECARD	Mag-Scan 7	1800382024	CONTRATO	N	2024-06-07
7100181088961053	PAG SEGURO	Mag-Scan 7	1800772024	CONTRATO	S	2024-05-26
7100191060502370	GETNET	Mag-Scan 7	1800482024	CONTRATO	S	2024-06-25
1020181062786529	INFINITE PAY	EPOS-X	1800632024	CONTRATO	N	2024-06-23
3450221047389237	CIELO	Chipset-Verifier 3.0	1800562024	CONTRATO	N	2024-06-25
2100211069778973	REDECARD	PX-2100	1800582024	CONTRATO	N	2024-06-27
1020191070576014	STONE	EPOS-X	1800272024	CONTRATO	N	2024-06-19
5020221005124749	CARDHUB TECH	Tricore-V	1800812024	VAREJO	N	2024-06-02
2100201055767656	SUM UP	PX-2100	1800502024	CONTRATO	N	2024-05-22
3450241072665748	PAG SEGURO	Chipset-Verifier 3.0	1800532024	CONTRATO	N	2024-05-24
1020231059151016	STONE	EPOS-X	1800272024	CONTRATO	N	2024-06-06
2100221059703875	GETNET	PX-2100	1800392024	CONTRATO	N	2024-06-19
7100231006834713	GETNET	Mag-Scan 7	1800482024	CONTRATO	N	2024-06-01
7100201076068646	PAG SEGURO	Mag-Scan 7	1800772024	CONTRATO	S	2024-06-27
3450201015021892	PAG SEGURO	Chipset-Verifier 3.0	1800532024	CONTRATO	N	2024-06-22
7100181052281197	PAG SEGURO	Mag-Scan 7	1800772024	CONTRATO	N	2024-06-26
2100231088366454	GETNET	PX-2100	1800392024	CONTRATO	S	2024-06-11
2100191089625452	REDECARD	PX-2100	1800582024	CONTRATO	N	2024-06-03
5020231038469470	INFINITE PAY	Tricore-V	1800492024	CONTRATO	S	2024-05-21
1020231010244566	PAGPOP	EPOS-X	1800552024	CONTRATO	N	2024-06-26
5020241030974028	INFINITE PAY	Tricore-V	1800492024	CONTRATO	N	2024-06-18
1020201070187642	MERCADO PAGO	EPOS-X	1800262024	CONTRATO	N	2024-06-18
5020221088062700	PAG SEGURO	Tricore-V	1800332024	CONTRATO	N	2024-05-21
5020211058433961	PAYMASTER TECH	Tricore-V	1800822024	VAREJO	N	2024-06-13
7100181002200255	PAG SEGURO	Mag-Scan 7	1800772024	CONTRATO	N	2024-06-14
3450191048498696	PAG SEGURO	Chipset-Verifier 3.0	1800532024	CONTRATO	N	2024-06-18
2100241050037543	INFINITE PAY	PX-2100	1800742024	CONTRATO	N	2024-06-24
5020181086018831	MERCADO PAGO	Tricore-V	1800302024	CONTRATO	N	2024-06-10
5020211038540946	INFINITE PAY	Tricore-V	1800492024	CONTRATO	N	2024-05-18
3450231024598431	EASYPAY SOLUTIONS	Chipset-Verifier 3.0	1800722024	VAREJO	N	2024-05-31
7100191013285376	MERCADO PAGO	Mag-Scan 7	1800372024	CONTRATO	N	2024-06-13
5020231055116340	INFINITE PAY	Tricore-V	1800492024	CONTRATO	N	2024-05-25
2100241013149884	REDECARD	PX-2100	1800582024	CONTRATO	N	2024-06-13
5020181069570919	CIELO	Tricore-V	1800232024	CONTRATO	N	2024-05-26
