SERIAL	CLIENTE	EQUIPAMENTO	ORDEM DE SERVIÇO	FLUXO	GARANTIA	DT RECEBIMENTO
2100211011676916	PAGPOP	PX-2100	1802732024	CONTRATO	N	2024-05-19
2100191069971020	REDECARD	PX-2100	1802832024	CONTRATO	N	2024-05-19
3450191013536719	SUM UP	Chipset-Verifier 3.0	1802822024	CONTRATO	N	2024-05-19
5020241087004357	REDECARD	Tricore-V	1802672024	CONTRATO	N	2024-05-19
2100211008892591	MERCADO PAGO	PX-2100	1802952024	CONTRATO	N	2024-05-19
7100211069333528	INFINITE PAY	Mag-Scan 7	1802922024	CONTRATO	N	2024-05-19
1020241036812878	SECURESWIPE SOLUTIONS	EPOS-X	1800952024	VAREJO	N	2024-05-19
3450191019235679	PAG SEGURO	Chipset-Verifier 3.0	1802722024	CONTRATO	N	2024-05-19
7100231060032017	STONE	Mag-Scan 7	1802932024	CONTRATO	N	2024-05-19
5020211045487515	INFINITE PAY	Tricore-V	1802942024	CONTRATO	N	2024-05-19
2100181005537212	MERCADO PAGO	PX-2100	1802952024	CONTRATO	N	2024-05-19
5020241012186786	PAGPOP	Tricore-V	1802972024	CONTRATO	N	2024-05-19
1020231025531176	PAG SEGURO	EPOS-X	1802702024	CONTRATO	N	2024-05-19
2100241080916816	REDECARD	PX-2100	1802832024	CONTRATO	N	2024-05-19
2100231045601909	CIELO	PX-2100	1802562024	CONTRATO	N	2024-05-19
1020241050536914	GETNET	EPOS-X	1802902024	CONTRATO	N	2024-05-19
3450231043745665	INFINITE PAY	Chipset-Verifier 3.0	1802852024	CONTRATO	N	2024-05-19
3450221024869976	PAG SEGURO	Chipset-Verifier 3.0	1802722024	CONTRATO	S	2024-05-19
1020211063811797	PAGPOP	EPOS-X	1802592024	CONTRATO	N	2024-05-19
7100181079563225	PAG SEGURO	Mag-Scan 7	1802992024	CONTRATO	N	2024-05-19
1020241020190834	INFINITE PAY	EPOS-X	1802962024	CONTRATO	N	2024-05-19
7100241022806408	SUM UP	Mag-Scan 7	1802622024	CONTRATO	N	2024-05-19
1020241052848072	GETNET	EPOS-X	1802902024	CONTRATO	S	2024-05-19
