SERIAL	CLIENTE	EQUIPAMENTO	ORDEM DE SERVIÇO	FLUXO	GARANTIA	DT RECEBIMENTO
2100241014395296	EASYPAY SOLUTIONS	PX-2100	1800972024	VAREJO	N	2024-05-20
2100221016135969	SUM UP	PX-2100	1801712024	CONTRATO	N	2024-05-20
1020211068371285	CIELO	EPOS-X	1801952024	CONTRATO	S	2024-05-20
5020191060564984	PAGPOP	Tricore-V	1801992024	CONTRATO	N	2024-05-20
2100211083293334	GETNET	PX-2100	1801962024	CONTRATO	N	2024-05-20
2100181005806069	STONE	PX-2100	1801982024	CONTRATO	N	2024-05-20
5020181002401500	REDECARD	Tricore-V	1801812024	CONTRATO	N	2024-05-20
1020201005807719	EASYSWIPE SOLUTIONS	EPOS-X	1800512024	VAREJO	S	2024-05-20
7100241060380039	PAGPOP	Mag-Scan 7	1802062024	CONTRATO	N	2024-05-20
7100231049962672	CIELO	Mag-Scan 7	1802022024	CONTRATO	N	2024-05-20
5020221055370890	MERCADO PAGO	Tricore-V	1801882024	CONTRATO	N	2024-05-20
7100181017288377	PAGPOP	Mag-Scan 7	1802062024	CONTRATO	N	2024-05-20
3450191075434251	REDECARD	Chipset-Verifier 3.0	1801872024	CONTRATO	N	2024-05-20
7100211051457791	SECUREPOINT SOLUTIONS	Mag-Scan 7	1801482024	VAREJO	S	2024-05-20
3450201072266122	PAGPOP	Chipset-Verifier 3.0	1801932024	CONTRATO	N	2024-05-20
1020181014345095	PAGPOP	EPOS-X	1801852024	CONTRATO	N	2024-05-20
5020211065414305	STONE	Tricore-V	1802082024	CONTRATO	N	2024-05-20
1020241058529996	INFINITE PAY	EPOS-X	1802072024	CONTRATO	N	2024-05-20
2100221081523983	SUM UP	PX-2100	1801712024	CONTRATO	N	2024-05-20
2100231055814996	MERCADO PAGO	PX-2100	1802102024	CONTRATO	S	2024-05-20
7100191048941656	SUM UP	Mag-Scan 7	1801762024	CONTRATO	N	2024-05-20
2100191087587955	PAGPOP	PX-2100	1801902024	CONTRATO	S	2024-05-20
5020211003178981	MERCADO PAGO	Tricore-V	1801882024	CONTRATO	N	2024-05-20
2100241070340679	CARDHUB TECH	PX-2100	1800832024	VAREJO	N	2024-05-20
1020191035461662	MERCADO PAGO	EPOS-X	1801662024	CONTRATO	S	2024-05-20
7100191036848582	SECURESWIPE SOLUTIONS	Mag-Scan 7	1801062024	VAREJO	N	2024-05-20
3450241042445991	REDECARD	Chipset-Verifier 3.0	1801872024	CONTRATO	N	2024-05-20
5020211012391504	GETNET	Tricore-V	1801832024	CONTRATO	N	2024-05-20
1020221012830102	STONE	EPOS-X	1801692024	CONTRATO	N	2024-05-20
7100211086498487	CIELO	Mag-Scan 7	1802022024	CONTRATO	N	2024-05-20
3450241000185618	SUM UP	Chipset-Verifier 3.0	1801792024	CONTRATO	N	2024-05-20
2100191087980218	STONE	PX-2100	1801982024	CONTRATO	N	2024-05-20
5020191037608102	PAGPOP	Tricore-V	1801992024	CONTRATO	S	2024-05-20
3450181081499201	SUM UP	Chipset-Verifier 3.0	1801792024	CONTRATO	N	2024-05-20
5020191004188577	PAGPOP	Tricore-V	1801992024	CONTRATO	N	2024-05-20
5020191056476619	INFINITE PAY	Tricore-V	1801862024	CONTRATO	S	2024-05-20
3450181058395735	INFINITE PAY	Chipset-Verifier 3.0	1801702024	CONTRATO	N	2024-05-20
